ID,plot,row,col,Stage,Trial,geno,rep,SN,SAMPCY,CY,YMCY,R0611,G0611,B0611,RE0611,NIR0611,BI0611,BAI0611,ARI0611,EVI0611,GOSAVI0611,NDRE0611,NDVI0611,OSAVI0611,REDVI0611,TDVI0611,VIN0611,CC0611,CHM0611,VOL0611,NIR0630,BI0630,BAI0630,ARI0630,EVI0630,GOSAVI0630,NDRE0630,NDVI0630,OSAVI0630,REDVI0630,TDVI0630,VIN0630,CC0630,CHM0630,VOL0630,R0714,G0714,B0714,RE0714,EVI0714,GOSAVI0714,NDRE0714,NDVI0714,OSAVI0714,REDVI0714,TDVI0714,VIN0714,CC0714,CHM0714,VOL0714,R0728,G0728,B0728,RE0728,NIR0728,BI0728,BAI0728,ARI0728,OSAVI0728,REDVI0728,TDVI0728,VIN0728,CC0728,CHM0728,VOL0728,R0806,G0806,B0806,RE0806,NIR0806,BI0806,BAI0806,ARI0806,EVI0806,GOSAVI0806,NDRE0806,NDVI0806,VIN0806,CC0806,CHM0806,VOL0806,R0827,G0827,B0827,RE0827,NIR0827,BI0827,BAI0827,ARI0827,EVI0827,GOSAVI0827,NDRE0827,NDVI0827,OSAVI0827,REDVI0827,TDVI0827,VIN0827,CC0827,CHM0827,VOL0827,R0910,G0910,B0910,RE0910,NIR0910,BI0910,BAI0910,ARI0910,EVI0910,GOSAVI0910,NDRE0910,NDVI0910,OSAVI0910,REDVI0910,TDVI0910,VIN0910,CC0910,CHM0910,VOL0910,R0924,G0924,B0924,RE0924,NIR0924,BI0924,BAI0924,ARI0924,EVI0924,GOSAVI0924,NDRE0924,NDVI0924,OSAVI0924,REDVI0924,TDVI0924,VIN0924,CC0924
263,101,1,1,GSN,GSN240,1616,1,153,#N/A,57.475,NA,0.045939628,0.072096275,0.039369617,0.116622043,0.312052694,0.054683051,40.30228592,6.084712241,0.495793445,0.408041319,0.430781471,0.705561406,0.474531223,7.365510485,0.476164926,7.365510485,48.59,1.431753813,0.695731759,0.38985829,0.054179202,14.48188306,5.497891162,0.6369993,0.491834173,0.524008238,0.793254417,0.572356492,9.773619728,0.612860747,9.773619728,67.11,2.236870925,1.501072619,0.033752588,0.075386443,0.037975574,0.123614154,0.6672463,0.492468508,0.520521647,0.838209932,0.594510143,11.91939031,0.626986343,11.91939031,66.69,2.622949727,1.749158898,0.03354516,0.068848925,0.034180795,0.121815638,0.379323244,0.048529004,21.07076089,7.721718583,0.577586061,11.49180332,0.609893329,11.49180332,70.61,2.924699761,2.065169377,0.035801181,0.076391654,0.038589743,0.126455966,0.405272321,0.05365374,15.59430503,6.284969378,0.675445814,0.498298486,0.52761255,0.835789629,11.89652446,68.31,3.10408413,2.120285861,0.042072761,0.080843647,0.038547567,0.142475124,0.388851557,0.057288297,11.10273766,5.801728485,0.636617057,0.484257224,0.460618214,0.800113218,0.580055971,9.780416948,0.618259332,9.780416948,77.96,3.10408413,2.120285861,0.039505163,0.082359759,0.037315839,0.14424295,0.422771457,0.057098089,13.09355539,6.921171638,0.676103323,0.501463677,0.499107301,0.832352073,0.600264551,11.66789569,0.654418689,11.66789569,70.74,3.463157552,2.44976422,0.038732264,0.07825375,0.035682107,0.139861368,0.409732147,0.05453438,10.65477709,6.589030724,0.666436216,0.505734012,0.49068054,0.824662388,0.600273045,10.80218381,0.649993837,10.80218381,75.41
264,102,2,1,GSN,GSN240,709,1,148,#N/A,64.28125,NA,0.052047897,0.076365703,0.041673791,0.122742337,0.30249252,0.058841099,33.34692132,5.439047406,0.469982344,0.399810451,0.405724845,0.683346661,0.463782379,6.480615987,0.455724497,6.480615987,42.07,1.398134521,0.588214431,0.381082964,0.051546803,15.46389166,5.826075175,0.620674847,0.493481596,0.528425528,0.790884869,0.568606848,10.26763516,0.603458268,10.26763516,65.86,2.350765131,1.54816371,0.030261769,0.069675718,0.033856346,0.116270761,0.654534764,0.497578136,0.536391777,0.850816413,0.596519862,13.39542954,0.620800621,13.39542954,64.65,2.690498265,1.739388257,0.031115798,0.067105117,0.031372016,0.12184011,0.397859299,0.046537308,15.44051693,8.226272573,0.603990069,14.0610973,0.644955562,14.0610973,71.89,3.107396911,2.233931873,0.030861199,0.07163766,0.034643647,0.120754351,0.425465132,0.049393295,14.77141155,6.874636163,0.7060706,0.521431791,0.566397186,0.86388286,14.90752471,68.88,3.18588914,2.19440946,0.037486078,0.082081331,0.036104224,0.149475497,0.461245828,0.056258864,7.249787992,5.94605197,0.743411903,0.534883027,0.508296085,0.845339135,0.637160291,13.13634564,0.726298606,13.13634564,91.92,3.18588914,2.19440946,0.039419758,0.092360841,0.038475678,0.163849607,0.518830568,0.062236243,8.535777628,6.343495158,0.79284959,0.543780985,0.53453433,0.864119401,0.652265264,15.04596089,0.766439155,15.04596089,78.97,3.694483717,2.917604001,0.041352612,0.094777454,0.038030543,0.169571266,0.509836051,0.063694327,6.174390636,5.435999097,0.786620793,0.539825214,0.503972598,0.849414565,0.652071092,12.8865041,0.772096744,12.8865041,93.19
265,103,3,1,GSN,GSN240,420,1,121,#N/A,62.0125,NA,0.049527463,0.068045791,0.038306065,0.109186562,0.269139254,0.053735225,49.4648424,6.114903144,0.417426833,0.378487993,0.396929153,0.655061707,0.430017973,6.434305071,0.40591952,6.434305071,34.33,1.245880919,0.427748628,0.352143891,0.047518814,18.56824368,6.453688081,0.57744716,0.486411288,0.532474259,0.777439894,0.549412366,10.18278968,0.564740927,10.18278968,59.38,2.103482763,1.24908857,0.025106575,0.054293632,0.026897777,0.09482171,0.580085055,0.487608745,0.552040062,0.851158569,0.568977723,13.9331386,0.557437405,13.9331386,50.02,2.594426446,1.29773294,0.024553469,0.047775007,0.023414966,0.090239037,0.322323939,0.033943283,23.1039053,11.24046539,0.567682151,14.48637602,0.550913054,14.48637602,53.72,2.670807704,1.434822246,0.022205943,0.050198228,0.024788913,0.089166329,0.33042379,0.034906601,26.15186201,9.64706463,0.579447046,0.491902466,0.573095029,0.861661151,15.42370227,45.42,3.200365915,1.453589533,0.035911995,0.060012167,0.029823638,0.111193396,0.333234127,0.044230113,15.70936508,8.578775157,0.557931917,0.487558106,0.492417455,0.796704809,0.555069931,11.68591971,0.550971105,11.68591971,59.08,3.200365915,1.453589533,0.024837138,0.057465405,0.024642144,0.107318672,0.355709853,0.038954624,16.5237531,9.997318658,0.611956513,0.5093645,0.545032514,0.869921686,0.596810684,15.49721421,0.597552179,15.49721421,52.06,3.817161545,1.98709914,0.026625846,0.0562541,0.024255077,0.108722587,0.365944786,0.038632142,12.29907989,9.656820773,0.62618641,0.527952066,0.543477492,0.862309465,0.607703297,14.32263492,0.619661635,14.32263492,69.36
266,104,4,1,GSN,GSN240,405,1,124,#N/A,90.75,NA,0.0495732,0.067554797,0.03819115,0.107163282,0.27462072,0.05368883,55.24717297,6.178601209,0.421349788,0.376227148,0.403159566,0.646414043,0.42478348,6.96820616,0.409690074,6.96820616,36.95,1.300496665,0.480477885,0.381800877,0.05171374,18.22123596,5.849883522,0.613911624,0.490898638,0.526006614,0.77436012,0.560057148,10.83048468,0.599619871,10.83048468,65.96,2.235594345,1.474704951,0.026671763,0.063774867,0.030212958,0.108456608,0.645002658,0.498793221,0.547313114,0.858071829,0.594358195,14.28773915,0.61665935,14.28773915,68.29,2.730678342,1.864786753,0.025722975,0.058110787,0.026386007,0.107566298,0.384692217,0.039796052,17.30070006,8.957429497,0.609898459,15.38694937,0.640618712,15.38694937,74.83,2.985874127,2.234240206,0.026952427,0.064603727,0.029960271,0.111654945,0.405083513,0.044083669,18.09867398,7.378169239,0.682178926,0.520229144,0.569099869,0.867154262,15.75616472,73.1,3.260136741,2.383302742,0.033965358,0.068900889,0.030916316,0.125427353,0.389317246,0.048062263,10.70954405,7.064536164,0.649045916,0.513288067,0.507728895,0.832100513,0.602890505,13.06624463,0.63907676,13.06624463,84.65,3.260136741,2.383302742,0.029583853,0.073284958,0.029009289,0.134038659,0.444370184,0.04870565,10.28027195,7.970465564,0.723161644,0.540441314,0.547939521,0.877923104,0.641986515,16.58710861,0.709433538,16.58710861,79.33,3.998445444,3.172025504,0.031595945,0.071338178,0.02944015,0.131060498,0.425250319,0.048215494,9.397085165,7.573860274,0.698770792,0.535387727,0.532201939,0.860713013,0.630892887,14.03871002,0.689263627,14.03871002,84.44
267,105,5,1,GSN,GSN240,525,1,140,#N/A,72.6,NA,0.054301572,0.074861168,0.041052034,0.120739532,0.298723989,0.058847044,37.86910593,5.639688019,0.453472077,0.395233075,0.400201715,0.660242751,0.449470756,6.799614534,0.444808317,6.799614534,44.47,1.331425403,0.592098473,0.394915675,0.053737441,13.17409324,5.563338917,0.632392368,0.500174041,0.52675812,0.783887927,0.572028381,10.16338233,0.618544955,10.16338233,71.75,2.247183182,1.612404433,0.032585096,0.071179219,0.034984373,0.120657899,0.669477521,0.505565851,0.530467179,0.84214584,0.601638563,12.80082299,0.639147363,12.80082299,71.4,2.579670348,1.841809136,0.030809672,0.064480232,0.031029748,0.118825192,0.408119334,0.045035827,11.16201177,8.112067454,0.620318396,13.8640052,0.666895795,13.8640052,79.92,2.786307494,2.226753596,0.034341703,0.074956429,0.0367976,0.127517172,0.439875009,0.052213215,11.79578295,6.707139874,0.719779267,0.527999737,0.556960428,0.855902519,13.75460508,73.19,3.014537672,2.206241498,0.037693804,0.07765432,0.035149545,0.142782718,0.432975629,0.053878975,7.661920887,6.236578622,0.705391684,0.527954552,0.504222357,0.838121132,0.623377636,11.77932489,0.691772517,11.77932489,93.78,3.014537672,2.206241498,0.03880559,0.086348799,0.037110931,0.154897955,0.478288651,0.05881495,9.10836538,7.065061898,0.747758013,0.534175599,0.525232879,0.85636434,0.636419158,13.93248697,0.725830157,13.93248697,77.41,3.592040465,2.78062589,0.043325842,0.089994653,0.038524344,0.16536523,0.479472073,0.061895565,7.019687458,6.083311163,0.744264327,0.531844101,0.492253012,0.83514855,0.632582639,11.514589,0.731867815,11.514589,90.87
268,106,6,1,GSN,GSN240,220,1,140,#N/A,85.45625,NA,0.051342013,0.082277965,0.04353577,0.13224227,0.331721711,0.061670178,30.97175956,5.11384489,0.520080039,0.411724126,0.412942026,0.706930677,0.489417642,6.962224833,0.501369485,6.962224833,56.29,1.511823611,0.851026536,0.437720817,0.064605411,9.126488549,4.393975497,0.687321299,0.50044865,0.507373194,0.783614782,0.587494245,9.164755234,0.66414446,9.164755234,82.68,2.439150569,2.01675302,0.042927881,0.092006936,0.046375288,0.148523597,0.715886525,0.490911182,0.489864319,0.817935772,0.603881176,10.6283292,0.671013152,10.6283292,80.49,2.837548031,2.284032748,0.039140058,0.076795396,0.038067912,0.136333166,0.417797321,0.054499012,9.867964609,6.181034436,0.606685632,11.37740657,0.663788402,11.37740657,84.03,2.961874955,2.488816939,0.045305209,0.093686187,0.046901045,0.155706915,0.48634161,0.066011768,9.663821622,4.884035097,0.762543324,0.518583465,0.519993402,0.830047611,11.2986359,79.78,3.294979875,2.628865116,0.050331428,0.091018661,0.043220901,0.162794998,0.433831815,0.065153299,8.707553274,5.119253589,0.674295985,0.495277074,0.449876216,0.785625934,0.587850405,8.844960503,0.661505391,8.844960503,86.31,3.294979875,2.628865116,0.055223107,0.108391799,0.0473071,0.190877595,0.51838947,0.075485395,8.275548845,5.092260616,0.754842813,0.511632877,0.465217594,0.809277871,0.617570399,10.00461702,0.737576703,10.00461702,84.1,3.679590642,3.09442399,0.057757167,0.104844067,0.046852131,0.186044401,0.47569527,0.074344734,9.297097614,4.999646364,0.697715681,0.491980188,0.435048554,0.778887271,0.589564628,8.426616063,0.688862895,8.426616063,83
269,107,7,1,GSN,GSN240,1604,2,120,#N/A,62.0125,NA,0.055705575,0.069914396,0.040311514,0.108977712,0.26425318,0.05703748,46.39267246,6.128863666,0.39354189,0.370245772,0.397280667,0.632484107,0.411213263,6.159243121,0.385253715,6.159243121,30.39,1.086783738,0.330273498,0.373815792,0.054281924,14.19129702,5.298501375,0.59480198,0.486531913,0.519858955,0.760283011,0.549979393,9.014336495,0.583320072,9.014336495,66.42,1.93038608,1.282090164,0.032508027,0.066961691,0.033883888,0.111849304,0.616567986,0.485053673,0.523120399,0.828659664,0.575545352,11.58589016,0.589237124,11.58589016,65.07,2.241849745,1.458774774,0.034805597,0.066695992,0.033211164,0.11783253,0.378599934,0.047546773,15.8361061,7.480973296,0.585261753,11.33494584,0.613038125,11.33494584,71.41,2.508974861,1.791655758,0.032484556,0.066627437,0.034174087,0.112116463,0.376339024,0.047230677,17.34101306,6.587100284,0.634815251,0.496543708,0.539980215,0.836275917,11.92115123,61.23,2.951104907,1.807089312,0.04302891,0.07191899,0.036673371,0.125241752,0.330469236,0.052988008,14.87203453,6.269104103,0.544938819,0.45628795,0.447489393,0.765235636,0.534465175,8.429908638,0.531108933,8.429908638,53.15,2.951104907,1.807089312,0.03429245,0.068581671,0.031813892,0.120792791,0.355173034,0.048051031,15.96876423,7.421111105,0.59515893,0.482746031,0.498457068,0.825807048,0.572488525,11.08779363,0.578665769,11.08779363,55.14,3.570947615,1.96906275,0.042860708,0.076011498,0.036098231,0.136396629,0.412123034,0.054628325,9.638734331,6.355202804,0.654571865,0.514292245,0.502015694,0.809392594,0.594200498,9.998672297,0.647973291,9.998672297,82.6
270,108,8,1,GSN,GSN240,252,2,175,#N/A,97.55625,NA,0.043974099,0.068333227,0.03634696,0.113920071,0.318186533,0.051664076,31.69414051,6.342654165,0.510544674,0.433795124,0.452756608,0.731574572,0.499062559,8.154525773,0.498120421,8.154525773,52.96,1.399191421,0.741036074,0.421569346,0.047002337,9.654114866,6.454300726,0.688652622,0.541658029,0.575014447,0.835956682,0.61642849,12.60902077,0.677045326,12.60902077,82.01,2.345001306,1.923022379,0.030249976,0.069194116,0.032986818,0.12195173,0.722042582,0.54012544,0.557051348,0.866985855,0.635739206,14.74096552,0.696023278,14.74096552,83.01,2.730050427,2.266105985,0.027766945,0.059956614,0.027706957,0.116434195,0.437482942,0.041403144,8.390586394,8.660585497,0.649418674,16.34684383,0.717545433,16.34684383,90.83,2.979258601,2.70618776,0.032828198,0.072747008,0.033693499,0.131478144,0.486009227,0.050102094,7.528306497,7.021434352,0.779937657,0.568364828,0.578370605,0.874415306,15.98630722,87.25,3.380457634,2.949423202,0.031447545,0.064669197,0.028262784,0.126538178,0.413174722,0.044660698,8.424133678,8.003843793,0.684159242,0.544449384,0.530937019,0.856946837,0.62818888,13.54038035,0.679504939,13.54038035,90.75,3.380457634,2.949423202,0.035563337,0.073266015,0.030836949,0.138283454,0.431802939,0.050411431,12.49014135,8.360281746,0.682280101,0.527483473,0.520371863,0.849701874,0.615550436,13.29135995,0.675288469,13.29135995,72.31,3.825369437,2.766106909,0.042259937,0.080000314,0.034293397,0.155120593,0.476632072,0.056010224,8.144381302,6.976833249,0.726786993,0.546058375,0.507063513,0.832253387,0.628835283,11.85062231,0.72670303,11.85062231,85.54
271,109,9,1,GSN,GSN240,1510,2,119,#N/A,68.0625,NA,0.045986828,0.068932387,0.037737282,0.110191753,0.287467704,0.052932035,45.51261357,5.893081955,0.456412736,0.393587844,0.419102404,0.686967534,0.455557528,7.103031466,0.44062107,7.103031466,40.65,1.123203805,0.456553321,0.383338987,0.051918935,12.70018687,5.66755293,0.630647164,0.497703586,0.527097359,0.799552031,0.577029497,10.22959761,0.611959251,10.22959761,70.16,2.11299152,1.482476932,0.031071608,0.070729517,0.034605895,0.11927873,0.64865752,0.493542996,0.520830742,0.846590434,0.595053407,12.75464193,0.614656602,12.75464193,63.5,2.265160627,1.438413299,0.032062972,0.067048161,0.031559677,0.122482594,0.381929046,0.046709106,12.97582358,7.811578821,0.600027569,12.70084544,0.627501146,12.70084544,72.87,2.702152631,1.969108418,0.02968076,0.065775711,0.032175034,0.110863055,0.354496836,0.045699531,18.82993362,7.664319247,0.611447604,0.483594218,0.531433798,0.846339469,12.84200255,53.03,2.994474077,1.587926165,0.034878523,0.068573611,0.031729444,0.124077732,0.327458599,0.048202703,16.07816934,7.20856389,0.559456157,0.461133559,0.449186453,0.803489377,0.55352604,10.04412459,0.542851304,10.04412459,50.72,2.994474077,1.587926165,0.026106784,0.059945019,0.026935716,0.104204147,0.304570208,0.040940321,23.88739617,9.494184001,0.539222107,0.455750322,0.504753013,0.848282657,0.551287512,13.03596407,0.515558269,13.03596407,36.49,3.831036359,1.397789874,0.035578685,0.077539761,0.033587145,0.145533649,0.43650426,0.053008366,8.491582609,7.155328951,0.710048433,0.530025701,0.505324598,0.850818787,0.628421197,12.95389098,0.695336665,12.95389098,84.29
272,110,10,1,GSN,GSN240,1707,2,153,#N/A,67.30625,NA,0.048185278,0.066056379,0.03685419,0.106798569,0.284608093,0.052098466,43.61253154,6.509743419,0.44208022,0.400247922,0.428833343,0.679012835,0.449325266,6.898576082,0.433213439,6.898576082,41.79,0.94712265,0.395825458,0.365251648,0.049464098,14.66376929,6.078670789,0.59096955,0.495437159,0.53746414,0.776513365,0.556374622,9.919562472,0.581252493,9.919562472,65.26,2.09512423,1.367238271,0.029965247,0.064297693,0.031672705,0.110867108,0.671477688,0.523461514,0.557224537,0.852163627,0.610833141,13.88333457,0.64739572,13.88333457,71.37,2.414716026,1.723414004,0.027872601,0.054709373,0.026536394,0.101950059,0.379793873,0.038698535,14.59410569,9.444904776,0.605741021,14.57499274,0.631615863,14.57499274,72.04,2.650851639,1.909684031,0.029743808,0.064772897,0.031472685,0.113886203,0.430493479,0.045091307,13.32374123,7.279839307,0.708817144,0.540526352,0.579184251,0.863175325,14.98022362,73.9,3.003340409,2.21933123,0.037694885,0.06770776,0.032536495,0.122978782,0.363820254,0.048761712,12.1542229,7.151200645,0.602609355,0.495577076,0.489519998,0.804578511,0.574706345,11.22540368,0.593587235,11.22540368,72.06,3.003340409,2.21933123,0.034426732,0.074772575,0.032109035,0.138313812,0.448631134,0.051121806,10.50341901,7.692707729,0.71535507,0.537284065,0.535034776,0.859103148,0.63038562,14.20299704,0.702195068,14.20299704,78.5,3.566767653,2.800017121,0.043151766,0.089123612,0.037444871,0.169560571,0.556418052,0.061222942,5.205202106,6.102665978,0.826922211,0.576049699,0.534524088,0.855527218,0.669104308,13.5053659,0.81946481,13.5053659,96.65
